r_time:09:27:02 21.08.2022 | Trade:100 | pos:-1 | len:4 | approx_cum_ret:7.24% | trade_ret:0.13% | eps:0.0010 | t_time:2011-04-18 15:55:00-04:00 | idx:25390
----saving weights, trade logs and replay buffer-----
r_time:09:29:58 21.08.2022 | Trade:101 | pos:-1 | len:27 | approx_cum_ret:7.11% | trade_ret:-0.14% | eps:0.0010 | t_time:2011-04-19 11:45:00-04:00 | idx:25418
r_time:09:35:21 21.08.2022 | Trade:102 | pos:-1 | len:27 | approx_cum_ret:5.75% | trade_ret:-1.36% | eps:0.0010 | t_time:2011-04-20 09:40:00-04:00 | idx:25471
r_time:09:36:06 21.08.2022 | Trade:103 | pos:-1 | len:5 | approx_cum_ret:5.69% | trade_ret:-0.06% | eps:0.0010 | t_time:2011-04-20 10:10:00-04:00 | idx:25477
r_time:10:03:59 21.08.2022 | Trade:104 | pos:1 | len:278 | approx_cum_ret:6.82% | trade_ret:1.13% | eps:0.0010 | t_time:2011-04-26 13:55:00-04:00 | idx:25756
r_time:10:18:43 21.08.2022 | Trade:105 | pos:1 | len:146 | approx_cum_ret:7.65% | trade_ret:0.83% | eps:0.0010 | t_time:2011-04-28 13:10:00-04:00 | idx:25903
r_time:13:54:55 21.08.2022 | Trade:106 | pos:1 | len:2075 | approx_cum_ret:3.24% | trade_ret:-4.41% | eps:0.0010 | t_time:2011-06-07 10:40:00-04:00 | idx:27979
r_time:13:57:35 21.08.2022 | Trade:107 | pos:-1 | len:26 | approx_cum_ret:3.50% | trade_ret:0.26% | eps:0.0010 | t_time:2011-06-07 12:55:00-04:00 | idx:28006
r_time:13:57:52 21.08.2022 | Trade:108 | pos:1 | len:2 | approx_cum_ret:3.55% | trade_ret:0.04% | eps:0.0010 | t_time:2011-06-07 13:10:00-04:00 | idx:28009
r_time:13:59:12 21.08.2022 | Trade:109 | pos:1 | len:13 | approx_cum_ret:3.62% | trade_ret:0.08% | eps:0.0010 | t_time:2011-06-07 14:20:00-04:00 | idx:28023
r_time:14:01:46 21.08.2022 | Trade:110 | pos:-1 | len:25 | approx_cum_ret:4.66% | trade_ret:1.04% | eps:0.0010 | t_time:2011-06-08 10:00:00-04:00 | idx:28049
----saving weights, trade logs and replay buffer-----
r_time:14:12:32 21.08.2022 | Trade:111 | pos:1 | len:102 | approx_cum_ret:5.53% | trade_ret:0.87% | eps:0.0010 | t_time:2011-06-09 12:05:00-04:00 | idx:28152
r_time:14:14:46 21.08.2022 | Trade:112 | pos:-1 | len:19 | approx_cum_ret:5.59% | trade_ret:0.05% | eps:0.0010 | t_time:2011-06-09 13:45:00-04:00 | idx:28172
r_time:14:18:28 21.08.2022 | Trade:113 | pos:-1 | len:34 | approx_cum_ret:6.70% | trade_ret:1.12% | eps:0.0010 | t_time:2011-06-10 10:10:00-04:00 | idx:28207
r_time:14:33:30 21.08.2022 | Trade:114 | pos:1 | len:150 | approx_cum_ret:7.38% | trade_ret:0.68% | eps:0.0010 | t_time:2011-06-14 09:45:00-04:00 | idx:28358
r_time:14:34:50 21.08.2022 | Trade:115 | pos:-1 | len:13 | approx_cum_ret:7.17% | trade_ret:-0.22% | eps:0.0010 | t_time:2011-06-14 10:55:00-04:00 | idx:28372
r_time:14:36:35 21.08.2022 | Trade:116 | pos:1 | len:16 | approx_cum_ret:7.15% | trade_ret:-0.02% | eps:0.0010 | t_time:2011-06-14 12:20:00-04:00 | idx:28389
r_time:14:44:03 21.08.2022 | Trade:117 | pos:-1 | len:71 | approx_cum_ret:8.34% | trade_ret:1.19% | eps:0.0010 | t_time:2011-06-15 11:50:00-04:00 | idx:28461
r_time:14:58:44 21.08.2022 | Trade:118 | pos:1 | len:151 | approx_cum_ret:8.80% | trade_ret:0.46% | eps:0.0010 | t_time:2011-06-17 11:30:00-04:00 | idx:28613
r_time:14:59:17 21.08.2022 | Trade:119 | pos:1 | len:5 | approx_cum_ret:8.67% | trade_ret:-0.13% | eps:0.0010 | t_time:2011-06-17 12:00:00-04:00 | idx:28619
r_time:14:59:34 21.08.2022 | Trade:120 | pos:-1 | len:2 | approx_cum_ret:8.71% | trade_ret:0.03% | eps:0.0010 | t_time:2011-06-17 12:15:00-04:00 | idx:28622
----saving weights, trade logs and replay buffer-----
r_time:15:06:57 21.08.2022 | Trade:121 | pos:1 | len:73 | approx_cum_ret:9.02% | trade_ret:0.31% | eps:0.0010 | t_time:2011-06-20 11:55:00-04:00 | idx:28696
r_time:15:08:32 21.08.2022 | Trade:122 | pos:-1 | len:14 | approx_cum_ret:9.13% | trade_ret:0.11% | eps:0.0010 | t_time:2011-06-20 13:10:00-04:00 | idx:28711
r_time:15:08:53 21.08.2022 | Trade:123 | pos:-1 | len:2 | approx_cum_ret:9.14% | trade_ret:0.01% | eps:0.0010 | t_time:2011-06-20 13:25:00-04:00 | idx:28714
r_time:15:10:01 21.08.2022 | Trade:124 | pos:-1 | len:10 | approx_cum_ret:9.24% | trade_ret:0.10% | eps:0.0010 | t_time:2011-06-20 14:20:00-04:00 | idx:28725
r_time:15:10:29 21.08.2022 | Trade:125 | pos:1 | len:4 | approx_cum_ret:9.32% | trade_ret:0.09% | eps:0.0010 | t_time:2011-06-20 14:45:00-04:00 | idx:28730
r_time:15:11:13 21.08.2022 | Trade:126 | pos:-1 | len:7 | approx_cum_ret:9.56% | trade_ret:0.24% | eps:0.0010 | t_time:2011-06-20 15:25:00-04:00 | idx:28738
r_time:15:13:04 21.08.2022 | Trade:127 | pos:1 | len:19 | approx_cum_ret:10.68% | trade_ret:1.12% | eps:0.0010 | t_time:2011-06-21 10:35:00-04:00 | idx:28758
r_time:15:13:50 21.08.2022 | Trade:128 | pos:-1 | len:6 | approx_cum_ret:10.48% | trade_ret:-0.21% | eps:0.0010 | t_time:2011-06-21 11:10:00-04:00 | idx:28765
r_time:15:15:48 21.08.2022 | Trade:129 | pos:1 | len:18 | approx_cum_ret:10.60% | trade_ret:0.12% | eps:0.0010 | t_time:2011-06-21 12:45:00-04:00 | idx:28784
r_time:15:47:14 21.08.2022 | Trade:130 | pos:1 | len:303 | approx_cum_ret:9.48% | trade_ret:-1.12% | eps:0.0010 | t_time:2011-06-27 12:05:00-04:00 | idx:29088
----saving weights, trade logs and replay buffer-----
r_time:15:48:13 21.08.2022 | Trade:131 | pos:-1 | len:8 | approx_cum_ret:9.49% | trade_ret:0.01% | eps:0.0010 | t_time:2011-06-27 12:50:00-04:00 | idx:29097
r_time:15:48:34 21.08.2022 | Trade:132 | pos:-1 | len:2 | approx_cum_ret:9.54% | trade_ret:0.05% | eps:0.0010 | t_time:2011-06-27 13:05:00-04:00 | idx:29100
r_time:15:49:44 21.08.2022 | Trade:133 | pos:-1 | len:11 | approx_cum_ret:9.57% | trade_ret:0.04% | eps:0.0010 | t_time:2011-06-27 14:05:00-04:00 | idx:29112
r_time:15:50:04 21.08.2022 | Trade:134 | pos:-1 | len:2 | approx_cum_ret:9.43% | trade_ret:-0.14% | eps:0.0010 | t_time:2011-06-27 14:20:00-04:00 | idx:29115
r_time:15:50:22 21.08.2022 | Trade:135 | pos:1 | len:2 | approx_cum_ret:9.46% | trade_ret:0.03% | eps:0.0010 | t_time:2011-06-27 14:35:00-04:00 | idx:29118
r_time:15:51:16 21.08.2022 | Trade:136 | pos:1 | len:8 | approx_cum_ret:9.43% | trade_ret:-0.04% | eps:0.0010 | t_time:2011-06-27 15:20:00-04:00 | idx:29127
r_time:15:51:29 21.08.2022 | Trade:137 | pos:-1 | len:1 | approx_cum_ret:9.35% | trade_ret:-0.07% | eps:0.0010 | t_time:2011-06-27 15:30:00-04:00 | idx:29129
r_time:15:52:35 21.08.2022 | Trade:138 | pos:1 | len:10 | approx_cum_ret:9.68% | trade_ret:0.33% | eps:0.0010 | t_time:2011-06-28 09:55:00-04:00 | idx:29140
